cityname,cost,low,moderatelow,moderate,moderatehigh,high,highest,avg_household_salary
Alameda,12302.28,2,2,2,2,0,0,76439
Albany,3385.08,3,0,0,0,0,0,78769
American Canyon,0,0,0,0,0,0,0,81955
Antioch,27139.95,0,0,5,19,2,8,65770
Atherton,0,0,0,0,0,0,0,250001
Belmont,5438.42,10,0,0,0,0,0,106287
Belvedere,0,0,0,0,0,0,0,166250
Benicia,7150.92,3,5,0,0,0,0,89094
Berkeley,18144.34,0,22,1,3,0,0,65283
Brentwood,11523.6,6,4,0,2,0,0,88697
Brisbane,0,0,0,0,0,0,0,80233
Burlingame,1083.4,3,0,0,0,0,0,90890
Calistoga,0,0,0,0,0,0,0,52131
Campbell,0,0,0,0,0,0,0,91269
Clayton,14776.6,19,0,0,0,0,0,131136
Cloverdale,0,0,0,0,0,0,0,59120
Colma,0,0,0,0,0,0,0,88438
Concord,26611.24,7,5,0,20,5,13,67122
Corte Madera,0,0,0,0,0,0,0,113279
Cotati,1463.1,0,0,0,3,0,0,59808
Cupertino,99.65,1,0,0,0,0,0,134872
Daly City,8266.81,1,1,1,13,1,0,74489
Danville,30718.34,20,0,0,0,0,0,140616
Dixon,1096.23,0,1,1,0,0,0,66818
Dublin,16169.74,19,0,0,0,0,0,114699
East Palo Alto,21437.47,0,0,0,0,0,23,52716
El Cerrito,9935.4,4,3,0,8,0,0,88380
Emeryville,994.62,0,0,0,1,0,0,69329
Fairfax,454.82,1,0,0,0,0,0,93354
Fairfield,27023.86,0,16,0,2,0,15,66190
Foster City,0,0,0,0,0,0,0,114651
Fremont,34197.53,41,5,3,1,0,0,103591
Gilroy,9405.53,0,3,8,2,1,0,81056
Half Moon Bay,0,0,0,0,0,0,0,103239
Hayward,34049.53,0,1,1,37,11,0,62691
Healdsburg,0,0,0,0,0,0,0,58176
Hercules,16210.6,0,6,0,0,0,0,100267
Hillsborough,0,0,0,0,0,0,0,250001
Lafayette,0,0,0,0,0,0,0,138073
Larkspur,0,0,0,0,0,0,0,82568
Livermore,38009.6,26,11,11,0,2,0,99683
Los Altos,233.25,1,0,0,0,0,0,157500
Los Altos Hills,0,0,0,0,0,0,0,224271
Los Gatos,0,0,0,0,0,0,0,122860
Martinez,21526.75,7,9,5,0,0,0,85736
Menlo Park,31500,0,0,0,0,0,29,115650
Mill Valley,0,0,0,0,0,0,0,132192
Millbrae,0,0,0,0,0,0,0,91846
Milpitas,4966.76,1,5,0,0,0,0,99072
Monte Sereno,0,0,0,0,0,0,0,187115
Moraga,0,0,0,0,0,0,0,132651
Morgan Hill,2069.59,0,1,0,0,3,0,96232
Mountain View,3488.46,0,1,1,1,0,2,100028
Napa,10790.23,5,0,3,0,1,0,64058
Newark,7330.28,1,0,0,8,0,0,86251
Novato,5267.12,1,2,1,2,0,0,76609
Oakland,31096.3,0,1,2,7,15,25,52962
Oakley,44467.36,0,10,35,5,0,0,78597
Orinda,127.2,1,0,0,0,0,0,166866
Pacifica,3554.33,1,0,0,0,0,0,96875
Palo Alto,0,0,0,0,0,0,0,126771
Petaluma,1135.49,0,0,1,0,1,0,80590
Piedmont,1305.48,1,0,0,0,0,0,212222
Pinole,9483.55,0,2,3,7,0,0,74379
Pittsburg,15808.61,0,0,0,1,15,0,60376
Pleasant Hill,19151.26,9,15,3,0,4,0,81566
Pleasanton,41440.31,39,0,0,0,0,0,123608
Portola Valley,0,0,0,0,0,0,0,182381
Redwood City,2628.35,0,1,0,0,0,0,81955
Richmond,39234.94,1,1,0,8,22,17,54857
Rio Vista,1047.14,0,2,0,0,0,0,62616
Rohnert Park,172.75,0,0,0,0,1,0,57557
Ross,0,0,0,0,0,0,0,186477
San Anselmo,0,0,0,0,0,0,0,100681
San Bruno,6750.05,0,2,1,0,0,0,81420
San Carlos,2020.91,1,0,0,0,0,0,125747
San Francisco,27881.14,0,2,8,11,16,13,78378
San Jose,28065.22,3,3,5,10,25,4,83787
San Leandro,28936.22,0,3,0,18,2,4,62279
San Mateo,11393.52,0,5,4,3,0,0,90087
San Pablo,23074.49,0,0,0,2,3,19,42746
San Rafael,17090.54,1,0,0,2,7,8,75668
San Ramon,48804,46,0,0,0,0,0,129062
Santa Clara,4951.84,1,0,4,2,1,0,93840
Santa Rosa,18434.43,2,0,4,4,10,7,60758
Saratoga,366.05,2,0,0,0,0,0,167917
Sausalito,572.65,0,0,1,0,0,0,111702
Sebastopol,621.67,1,0,0,0,0,0,52326
Sonoma,1449.34,0,0,1,1,0,0,66951
South San Francisco,873.25,1,0,0,0,0,0,78101
St. Helena,0,0,0,0,0,0,0,78421
Suisun City,3787.85,0,0,0,2,1,0,71306
Sunnyvale,5864.74,1,2,0,9,0,0,103257
Tiburon,0,0,0,0,0,0,0,130661
Union City,33317.36,1,7,10,7,0,0,82564
Vacaville,909.74,0,1,0,0,1,0,74207
Vallejo,5431.39,1,0,0,3,3,5,58472
Walnut Creek,48571.04,50,0,0,0,0,0,80399
Windsor,0,0,0,0,0,0,0,81442
Woodside,0,0,0,0,0,0,0,206528
Yountville,0,0,0,0,0,0,0,65568